instance,lp_calls,objective,final_objective,relative_loss,relative_loss_percent,phase
miqp_test_1,28032,157.58599463112466,157.58599463112466,0.0,0.0,final
miqp_test_2,278,447.5476373954599,459.8649030466812,12.317265651221305,2.6784530782013105,block
miqp_test_2,456,449.79246578621655,459.8649030466812,10.072437260464653,2.1903035421344588,block
miqp_test_2,567,458.3257966043269,459.8649030466812,1.5391064423542957,0.33468665083102894,block
miqp_test_2,732,459.8649030466812,459.8649030466812,0.0,0.0,block
miqp_test_2,901,459.8649030466812,459.8649030466812,0.0,0.0,block
miqp_test_2,941,459.8649030466812,459.8649030466812,0.0,0.0,block
miqp_test_2,979,459.8649030466812,459.8649030466812,0.0,0.0,block
miqp_test_2,1008,459.8649030466812,459.8649030466812,0.0,0.0,block
miqp_test_2,1057,459.8649030466812,459.8649030466812,0.0,0.0,polish
miqp_test_3,262,687.9358612813014,765.6905153906166,77.7546541093152,10.154840963342572,block
miqp_test_3,490,718.2283359587994,765.6905153906166,47.46217943181716,6.1986113812059385,block
miqp_test_3,702,752.6610075554986,765.6905153906166,13.029507835118011,1.7016676546490868,block
miqp_test_3,911,755.3252088857008,765.6905153906166,10.365306504915793,1.3537201123129934,block
miqp_test_3,1109,764.0584417391426,765.6905153906166,1.632073651474002,0.21315056392482548,block
miqp_test_3,1329,765.6905153906166,765.6905153906166,0.0,0.0,block
miqp_test_3,1547,765.6905153906166,765.6905153906166,0.0,0.0,block
miqp_test_3,1652,765.6905153906166,765.6905153906166,0.0,0.0,block
miqp_test_3,1684,765.6905153906166,765.6905153906166,0.0,0.0,polish
miqp_test_4,238,610.2729620795396,636.1755692734603,25.90260719392063,4.071613001974049,block
miqp_test_4,530,622.6174007528138,636.1755692734603,13.558168520646518,2.131199180774975,block
miqp_test_4,696,622.6174007528138,636.1755692734603,13.558168520646518,2.131199180774975,block
miqp_test_4,848,625.2591085457768,636.1755692734603,10.916460727683443,1.7159509504821928,block
miqp_test_4,928,625.2591085457768,636.1755692734603,10.916460727683443,1.7159509504821928,block
miqp_test_4,955,625.2591085457768,636.1755692734603,10.916460727683443,1.7159509504821928,block
miqp_test_4,986,625.2591085457768,636.1755692734603,10.916460727683443,1.7159509504821928,block
miqp_test_4,1010,625.2591085457768,636.1755692734603,10.916460727683443,1.7159509504821928,block
miqp_test_4,1168,628.8300287423729,636.1755692734603,7.3455405310874085,1.154640461826651,polish
miqp_test_4,1299,636.1755692734603,636.1755692734603,0.0,0.0,polish
miqp_test_4,1371,636.1755692734603,636.1755692734603,0.0,0.0,polish
miqp_test_5,152,772.0577270164952,842.3457368804827,70.28800986398755,8.344318346560405,block
miqp_test_5,292,812.9386427807417,842.3457368804827,29.407094099741016,3.4910954982269327,block
miqp_test_5,410,828.2414079514857,842.3457368804827,14.104328928997006,1.6744109112762349,block
miqp_test_5,554,842.3457368804827,842.3457368804827,0.0,0.0,block
